run_id,condition_id,run_label,method,model_tag,k,seed,example_id,nlq,va,em,ex,ts,source_json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,0,List all product lines.,1.0,0.0,1.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,1,"Show product names, codes, and MSRPs.",1.0,0.0,1.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,2,Which customers are in the USA?,1.0,0.0,0.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,3,Count employees in the San Francisco office.,1.0,0.0,1.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,4,Total amount per order number.,1.0,0.0,0.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,5,Customers with credit limits over 100000.,1.0,0.0,0.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,6,List all offices with city and country.,1.0,0.0,0.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,7,Payments made by customer 103.,1.0,0.0,0.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,8,Names and vendors for products in the Classic Cars line.,1.0,0.0,0.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,9,How many orders are shipped?,1.0,0.0,1.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,base,llama,0,7,10,Top 5 orders by total amount.,0.0,0.0,0.0,,/Users/mackenzieobrian/MacDoc/Dissertation/results/baseline/runs/meta_llama_3_8b_instruct_baseline_llama_core_full_ts_imported_20260224/results_k0_seed7.json
