comparison,left_condition_id,right_condition_id,metric,pair_key,matched_seeds,n_pairs,diff_shapiro_w,diff_shapiro_p,diff_shapiro_decision_alpha_0_05,diff_shapiro_note,diff_shapiro_reference_url
Llama Base k0->k3,llama_base_k0,llama_base_k3,em,seed+example_id,"7,17,27",600,0.5926723828897345,3.431111881717438e-35,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base k0->k3,llama_base_k0,llama_base_k3,ex,seed+example_id,"7,17,27",600,0.5009517292433389,6.795659573797921e-38,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base k0->k3,llama_base_k0,llama_base_k3,ts,seed+example_id,"7,17,27",0,,,insufficient_n,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base k0->k3,llama_base_k0,llama_base_k3,va,seed+example_id,"7,17,27",600,0.4985128642774955,5.835191334733213e-38,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->QLoRA @k0,llama_base_k0,llama_qlora_k0,em,seed+example_id,"7,17,27",600,0.04267918368418977,2.8525028322474693e-47,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->QLoRA @k0,llama_base_k0,llama_qlora_k0,ex,seed+example_id,"7,17,27",600,0.39304077974915264,1.3414085830095926e-40,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->QLoRA @k0,llama_base_k0,llama_qlora_k0,ts,seed+example_id,"7,17,27",0,,,insufficient_n,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->QLoRA @k0,llama_base_k0,llama_qlora_k0,va,seed+example_id,"7,17,27",600,0.3813723985960381,7.232443461218544e-41,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->QLoRA @k3,llama_base_k3,llama_qlora_k3,em,seed+example_id,"7,17,27",600,0.4866306942980033,2.8011630766814014e-38,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->QLoRA @k3,llama_base_k3,llama_qlora_k3,ex,seed+example_id,"7,17,27",600,0.5087472543991278,1.1105419838637916e-37,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->QLoRA @k3,llama_base_k3,llama_qlora_k3,ts,seed+example_id,"7,17,27",0,,,insufficient_n,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->QLoRA @k3,llama_base_k3,llama_qlora_k3,va,seed+example_id,"7,17,27",600,0.4110497752036183,3.548420357025624e-40,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->ReAct @k3,llama_base_k3,llama_react_k3,em,seed+example_id,"7,17,27",600,0.7402969393594652,1.425130504198057e-29,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->ReAct @k3,llama_base_k3,llama_react_k3,ex,seed+example_id,"7,17,27",600,0.7050353957720956,4.1359670712884375e-31,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->ReAct @k3,llama_base_k3,llama_react_k3,ts,seed+example_id,"7,17,27",499,0.71858380400041,4.0068371625564604e-28,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama Base->ReAct @k3,llama_base_k3,llama_react_k3,va,seed+example_id,"7,17,27",600,0.48589899948646587,2.678607219010072e-38,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama QLoRA k0->k3,llama_qlora_k0,llama_qlora_k3,em,seed+example_id,"7,17,27",600,0.5655231753660608,4.874126197954415e-36,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama QLoRA k0->k3,llama_qlora_k0,llama_qlora_k3,ex,seed+example_id,"7,17,27",600,0.42594601042742564,8.082679262428288e-40,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama QLoRA k0->k3,llama_qlora_k0,llama_qlora_k3,ts,seed+example_id,"7,17,27",0,,,insufficient_n,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama QLoRA k0->k3,llama_qlora_k0,llama_qlora_k3,va,seed+example_id,"7,17,27",600,0.5290311725632645,4.108873953675256e-37,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama QLoRA->ReAct @k3,llama_qlora_k3,llama_react_k3,em,seed+example_id,"7,17,27",600,0.7212907763249574,2.023495652244443e-30,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama QLoRA->ReAct @k3,llama_qlora_k3,llama_react_k3,ex,seed+example_id,"7,17,27",600,0.6557732142015371,4.973182143572094e-33,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama QLoRA->ReAct @k3,llama_qlora_k3,llama_react_k3,ts,seed+example_id,"7,17,27",0,,,insufficient_n,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Llama QLoRA->ReAct @k3,llama_qlora_k3,llama_react_k3,va,seed+example_id,"7,17,27",600,0.4817369911224497,2.0788241716995197e-38,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base k0->k3,qwen_base_k0,qwen_base_k3,em,seed+example_id,"7,17,27",600,0.6430984373398576,1.731415503261777e-33,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base k0->k3,qwen_base_k0,qwen_base_k3,ex,seed+example_id,"7,17,27",600,0.6772657809367721,3.202139128735326e-32,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base k0->k3,qwen_base_k0,qwen_base_k3,ts,seed+example_id,"7,17,27",0,,,insufficient_n,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base k0->k3,qwen_base_k0,qwen_base_k3,va,seed+example_id,"7,17,27",600,0.4836891562297436,2.3408059886804252e-38,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->QLoRA @k0,qwen_base_k0,qwen_qlora_k0,em,seed+example_id,"7,17,27",600,0.08086386111696364,1.1821724348317047e-46,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->QLoRA @k0,qwen_base_k0,qwen_qlora_k0,ex,seed+example_id,"7,17,27",600,0.5210608241347274,2.444182263856317e-37,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->QLoRA @k0,qwen_base_k0,qwen_qlora_k0,ts,seed+example_id,"7,17,27",0,,,insufficient_n,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->QLoRA @k0,qwen_base_k0,qwen_qlora_k0,va,seed+example_id,"7,17,27",600,0.4998558025880121,6.345445525600129e-38,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->QLoRA @k3,qwen_base_k3,qwen_qlora_k3,em,seed+example_id,"7,17,27",600,0.5466381354988259,1.3281630907905846e-36,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->QLoRA @k3,qwen_base_k3,qwen_qlora_k3,ex,seed+example_id,"7,17,27",600,0.5976665454688213,4.969071582635999e-35,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->QLoRA @k3,qwen_base_k3,qwen_qlora_k3,ts,seed+example_id,"7,17,27",517,0.604337570188528,1.1071175916544238e-32,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->QLoRA @k3,qwen_base_k3,qwen_qlora_k3,va,seed+example_id,"7,17,27",600,0.31964586848653986,3.202832077374566e-42,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->ReAct @k3,qwen_base_k3,qwen_react_k3,em,seed+example_id,"7,17,27",600,0.7368840516947962,9.956346430170861e-30,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->ReAct @k3,qwen_base_k3,qwen_react_k3,ex,seed+example_id,"7,17,27",600,0.7002951614728874,2.6374575746475613e-31,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->ReAct @k3,qwen_base_k3,qwen_react_k3,ts,seed+example_id,"7,17,27",516,0.671271527576502,2.182753433932737e-30,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen Base->ReAct @k3,qwen_base_k3,qwen_react_k3,va,seed+example_id,"7,17,27",600,0.43507400796354645,1.3502082882131797e-39,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen QLoRA k0->k3,qwen_qlora_k0,qwen_qlora_k3,em,seed+example_id,"7,17,27",600,0.5700979785644704,6.724482035411011e-36,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen QLoRA k0->k3,qwen_qlora_k0,qwen_qlora_k3,ex,seed+example_id,"7,17,27",600,0.5064488943893279,9.602013185129892e-38,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen QLoRA k0->k3,qwen_qlora_k0,qwen_qlora_k3,ts,seed+example_id,"7,17,27",0,,,insufficient_n,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen QLoRA k0->k3,qwen_qlora_k0,qwen_qlora_k3,va,seed+example_id,"7,17,27",600,0.44073457622102874,1.862418445117594e-39,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen QLoRA->ReAct @k3,qwen_qlora_k3,qwen_react_k3,em,seed+example_id,"7,17,27",600,0.7688768312405221,3.3543109531435356e-28,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen QLoRA->ReAct @k3,qwen_qlora_k3,qwen_react_k3,ex,seed+example_id,"7,17,27",600,0.7187811789396179,1.5761813666342003e-30,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen QLoRA->ReAct @k3,qwen_qlora_k3,qwen_react_k3,ts,seed+example_id,"7,17,27",520,0.7045062959588131,3.1891701023984467e-29,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
Qwen QLoRA->ReAct @k3,qwen_qlora_k3,qwen_react_k3,va,seed+example_id,"7,17,27",600,0.4104708802284822,3.4378840260434124e-40,reject_normality,,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
