condition_id,model_tag,method,k,seed,example_id,nlq,va,em,ex,ts,source_json
llama_base_k0,llama,base,0,7,0,List all product lines.,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,1,"Show product names, codes, and MSRPs.",True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,2,Which customers are in the USA?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,3,Count employees in the San Francisco office.,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,4,Total amount per order number.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,5,Customers with credit limits over 100000.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,6,List all offices with city and country.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,7,Payments made by customer 103.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,8,Names and vendors for products in the Classic Cars line.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,9,How many orders are shipped?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,10,Top 5 orders by total amount.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,11,Top 5 customers by total payments.,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,12,Customers who have never placed an order.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,13,Orders that were cancelled.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,14,Average payment amount per country.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,15,Employees and their managers.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,16,Orders with more than 3 line items.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,17,Products low on stock (less than 100).,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,18,Average MSRP by product line.,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,19,Orders with a shipped date before the required date.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,20,Number of customers per country.,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,21,Orders placed in 2004.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,22,Total quantity ordered per product.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,23,Products priced above their MSRP (should be none).,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,24,Customers and their sales rep names.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,25,Orders still in process.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,26,"Total payments per customer, highest first.",True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,27,Customers with no payments.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,28,Products with more than 500 units in stock.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,29,Top 3 countries by number of orders.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,30,Average time between order date and required date.,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,31,Offices and how many employees work there.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,32,Customers in France with their credit limits.,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,33,Orders with comments present.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,34,Employees who report to no one (top-level).,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,35,Average order total for shipped orders.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,36,Orders with payment amounts over 50000.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,37,Customers and the number of orders they placed.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,38,Most recent payment per customer.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,39,Products never ordered.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,40,Orders that shipped late (after required date).,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,41,Average payments per month in 2003.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,42,How many orders from customers in USA have status 'Shipped'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,43,How many orders from customers in USA have status 'Cancelled'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,44,How many orders from customers in USA have status 'On Hold'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,45,How many orders from customers in USA have status 'Disputed'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,46,How many orders from customers in USA have status 'In Process'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,47,How many orders from customers in USA have status 'Resolved'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,48,Which customers in USA have credit limits above 50000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,49,Which customers in USA have credit limits above 100000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,50,List orders and totals for customers in USA.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,51,List customers in San Francisco.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,52,How many orders from customers in France have status 'Shipped'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,53,How many orders from customers in France have status 'Cancelled'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,54,How many orders from customers in France have status 'On Hold'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,55,How many orders from customers in France have status 'Disputed'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,56,How many orders from customers in France have status 'In Process'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,57,How many orders from customers in France have status 'Resolved'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,58,Which customers in France have credit limits above 50000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,59,Which customers in France have credit limits above 100000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,60,List orders and totals for customers in France.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,61,List customers in France.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,62,How many orders from customers in Germany have status 'Shipped'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,63,How many orders from customers in Germany have status 'Cancelled'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,64,How many orders from customers in Germany have status 'On Hold'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,65,How many orders from customers in Germany have status 'Disputed'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,66,How many orders from customers in Germany have status 'In Process'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,67,How many orders from customers in Germany have status 'Resolved'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,68,Which customers in Germany have credit limits above 50000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,69,Which customers in Germany have credit limits above 100000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,70,List orders and totals for customers in Germany.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,71,List customers in Germany.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,72,How many orders from customers in UK have status 'Shipped'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,73,How many orders from customers in UK have status 'Cancelled'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,74,How many orders from customers in UK have status 'On Hold'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,75,How many orders from customers in UK have status 'Disputed'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,76,How many orders from customers in UK have status 'In Process'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,77,How many orders from customers in UK have status 'Resolved'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,78,Which customers in UK have credit limits above 50000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,79,Which customers in UK have credit limits above 100000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,80,List orders and totals for customers in UK.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,81,List customers in UK.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,82,How many orders from customers in Spain have status 'Shipped'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,83,How many orders from customers in Spain have status 'Cancelled'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,84,How many orders from customers in Spain have status 'On Hold'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,85,How many orders from customers in Spain have status 'Disputed'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,86,How many orders from customers in Spain have status 'In Process'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,87,How many orders from customers in Spain have status 'Resolved'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,88,Which customers in Spain have credit limits above 50000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,89,Which customers in Spain have credit limits above 100000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,90,List orders and totals for customers in Spain.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,91,List customers in Spain.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,92,How many orders from customers in Australia have status 'Shipped'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,93,How many orders from customers in Australia have status 'Cancelled'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,94,How many orders from customers in Australia have status 'On Hold'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,95,How many orders from customers in Australia have status 'Disputed'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,96,How many orders from customers in Australia have status 'In Process'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,97,How many orders from customers in Australia have status 'Resolved'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,98,Which customers in Australia have credit limits above 50000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,99,Which customers in Australia have credit limits above 100000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,100,List orders and totals for customers in Australia.,False,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,101,List customers in Australia.,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,102,How many orders from customers in Canada have status 'Shipped'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,103,How many orders from customers in Canada have status 'Cancelled'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,104,How many orders from customers in Canada have status 'On Hold'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,105,How many orders from customers in Canada have status 'Disputed'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,106,How many orders from customers in Canada have status 'In Process'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,107,How many orders from customers in Canada have status 'Resolved'?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,108,Which customers in Canada have credit limits above 50000?,True,False,False,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,109,Which customers in Canada have credit limits above 100000?,True,False,True,,llama_base_k0_seed7.json
llama_base_k0,llama,base,0,7,110,List orders and totals for customers in Canada.,False,False,False,,llama_base_k0_seed7.json
